id,word,html,description,pronounce
4122,chim chóc,"<h1>chim chóc</h1><h2>noun</h2><ul><li>Birds<ul style=""list-style-type:circle""><li>chim chóc trong rừng:<i>the birds in the forest</i></li></ul></li></ul>",noun: Birds,
4123,chim chuột,"<h1>chim chuột</h1><h2>verb</h2><ul><li>To make love to, to woo<ul style=""list-style-type:circle""><li>giở trò chim chuột:<i>to indulge in love-making</i></li></ul></li></ul>","verb: To make love to, to woo",
4124,chim gáy,<h1>chim gáy</h1><ul><li>như cu gáy</li></ul>,như cu gáy,
4125,chim muông,"<h1>chim muông</h1><h2>noun</h2><ul><li>Birds and beasts, animals</li></ul>","noun: Birds and beasts, animals",
4126,chim ngói,<h1>chim ngói</h1><ul><li>Turtle dove</li></ul>,Turtle dove,
4127,chim ri,<h1>chim ri</h1><ul><li>Munia</li></ul>,Munia,
4128,chim sâu,<h1>chim sâu</h1><ul><li>Flowerpecker</li></ul>,Flowerpecker,
4129,chim sẻ,<h1>chim sẻ</h1><ul><li>xem sẻ</li></ul>,xem sẻ,
4130,chim xanh,"<h1>chim xanh</h1><ul><li>Pimp, pander</li></ul>","Pimp, pander",
4131,chìm,"<h1>chìm</h1><h2>verb</h2><ul><li>To sink<ul style=""list-style-type:circle""><li>chiếc tàu chìm dưới đáy biển:<i>the ship was sunk deep at the bottom of the sea</i></li><li>xác chết chìm xuống nước:<i>the corpse sank into the water</i></li><li>chiếc đò đang chìm dần:<i>the boat was slowly sinking</i></li><li>khắc chìm:<i>sunk carving</i></li><li>của chìm:<i>sunk property, hidden wealth</i></li><li>làng xóm chìm trong đêm tối:<i>hamlet and village was sunk in darkness</i></li><li>câu chuyện đó đã chìm sâu vào dĩ vãng:<i>that story is sunk deep in the past, that story belongs now to the distant past</i></li></ul></li></ul>",verb: To sink,
4132,chìm đắm,"<h1>chìm đắm</h1><ul><li>To be sunk in<ul style=""list-style-type:circle""><li>chìm đắm trong vòng trụy lạc:<i>to be sunk in debauchery, to wallow in debauchery</i></li></ul></li></ul>",To be sunk in,
4133,chìm nghỉm,<h1>chìm nghỉm</h1><ul><li>To sink deep</li></ul>,To sink deep,
4134,chín,"<h1>chín</h1><h2>number</h2>-Nine, ninth<br/><ul style=""list-style-type:circle""><li>một trăm lẻ chín:<i>a hundred and nine</i></li><li>hai nghìn chín:<i>two thousand nine hundred</i></li><li>rằm tháng chín:<i>the 15th day of the ninth month</i></li><li>chín người mười ý:<i>Nine men, ten opinions; so many men, so many opinions</i></li><li>chín từng mây:<i>cloud-touching, cloud-topped, cloud-capped</i></li><li>chín bỏ làm mười:<i>to easily let pass (others' mistakes...), to tolerate</i></li><li>đoàn kết không phải là bất cứ cái gì cũng chín bỏ làm mười cho qua chuyện:<i>Solidarity does not mean easily letting pass any mistakes of others as past things</i></li></ul>",number: một trăm lẻ chín:<i>a hundred and nine</i>,
4135,chín cây,<h1>chín cây</h1><ul><li>Ripened on the tree</li></ul>,Ripened on the tree,
4136,chín chắn,"<h1>chín chắn</h1><h2>adj</h2><ul><li>Mature<ul style=""list-style-type:circle""><li>con người chín chắn:<i>a mature person</i></li><li>suy nghĩ chín chắn:<i>mature thinking</i></li><li>chín chắn trong hành động:<i>to show maturity in one's actions</i></li></ul></li></ul>",adj: Mature,
4137,chín mé,"<h1>chín mé</h1><h2>noun</h2><ul><li>Whitlow<ul style=""list-style-type:circle""><li>ngón tay bị chín mé rất lâu:<i>to have a very painful whitlow on a finger</i></li></ul></li></ul>",noun: Whitlow,
4138,chín mối,<h1>chín mối</h1>-(hình ảnh) hell; hades<br/>,,
4139,chín muồi,"<h1>chín muồi</h1><ul><li>Ripe<ul style=""list-style-type:circle""><li>quả chín muồi:<i>ripe fruit</i></li><li>một kế hoạch đã chín muồi:<i>a ripe plan</i></li></ul></li></ul>",Ripe,
4140,chín nhừ,<h1>chín nhừ</h1>-Overdone<br/>,,
4141,chín suối,"<h1>chín suối</h1><ul><li>Nether regions, hades</li></ul>","Nether regions, hades",
4142,chinh chiến,<h1>chinh chiến</h1><h2>verb</h2><ul><li>To fight a war</li></ul>,verb: To fight a war,
4143,chinh phạt,<h1>chinh phạt</h1><h2>verb</h2><ul><li>To mount a punitive expedition (against a smaller nation)</li></ul>,verb: To mount a punitive expedition (against a smaller nation),
4144,chinh phu,<h1>chinh phu</h1><h2>noun</h2><ul><li>Warrior</li></ul>,noun: Warrior,
4145,chinh phụ,"<h1>chinh phụ</h1><h2>noun</h2><ul><li>Warrior's wife</li></ul>","noun: Warrior's wife",
4146,chinh phục,"<h1>chinh phục</h1><h2>verb</h2><ul><li>To conquer<ul style=""list-style-type:circle""><li>chinh phục thiên nhiên:<i>to conquer nature</i>-To win, to win over<br/></li></ul></li></ul>",verb: To conquer,
4147,chình,<h1>chình</h1><ul><li>xem cá chình</li></ul>,xem cá chình,
4148,chỉnh,"<h1>chỉnh</h1><h2>adj</h2><ul><li>Correct<ul style=""list-style-type:circle""><li>câu văn chỉnh:<i>a correct sentence</i></li><li>câu đối rất chỉnh:<i>correct parallel sentences</i></li></ul></li></ul><h2>verb</h2><ul><li>To correct<ul style=""list-style-type:circle""><li>chỉnh lại đường ngắm:<i>to correct the aiming line</i>-To lecture, to give a dressing down to, to castigate<br/></li><li>chỉnh tư tưởng:<i>to castigate (someone's) wrong thinking</i></li><li>bị chỉnh cho một trận:<i>to be given a dressing down</i></li></ul></li></ul>",adj: Correct,
4149,chỉnh đốn,"<h1>chỉnh đốn</h1><h2>verb</h2><ul><li>To dress, to reorganize, to set right<ul style=""list-style-type:circle""><li>chỉnh đốn hàng ngũ:<i>to dress the ranks</i></li><li>chỉnh đốn tổ chức:<i>to reorganize (an office...)</i></li><li>chỉnh đốn tư tưởng:<i>to set right wrong ideology</i></li></ul></li></ul>","verb: To dress, to reorganize, to set right",
4150,chỉnh hình,<h1>chỉnh hình</h1><ul><li>Orthopaedy#Syn<br/></li><li>thuật chỉnh hình</li></ul>,Orthopaedy,
4151,chỉnh huấn,"<h1>chỉnh huấn</h1><h2>verb</h2><ul><li>To reform, to re-educate<ul style=""list-style-type:circle""><li>chỉnh huấn chính trị:<i>to re-educate politically, to give political re-education to</i></li></ul></li></ul>","verb: To reform, to re-educate",
4152,chỉnh lưu,<h1>chỉnh lưu</h1><h2>verb</h2><ul><li>To rectify</li></ul>,verb: To rectify,
4153,chỉnh lý,<h1>chỉnh lý</h1><h2>verb</h2>-readjust; to arrange again<br/>,verb: ,
4154,chỉnh tề,"<h1>chỉnh tề</h1><h2>adj</h2><ul><li>Correct<ul style=""list-style-type:circle""><li>quần áo chỉnh tề:<i>correct clothing</i></li><li>ăn mặc chỉnh tề:<i>to be correctly dressed</i></li><li>các chiến sĩ đã chỉnh tề trong hàng ngũ:<i>the men were correctly in line, the men's ranks were dressed</i></li></ul></li></ul>",adj: Correct,
4155,chỉnh thể,"<h1>chỉnh thể</h1><h2>noun</h2><ul><li>Perfect whole<ul style=""list-style-type:circle""><li>cơ thể động vật là một chỉnh thể:<i>the animal body is a perfect whole</i></li></ul></li></ul>",noun: Perfect whole,
4156,chĩnh,"<h1>chĩnh</h1><h2>noun</h2><ul><li>Terracotta jar<ul style=""list-style-type:circle""><li>chĩnh đựng mắm:<i>a pickled fish jar</i></li><li>chuột sa chĩnh gạo:<i>to land in a mint of money, to get a windfall</i></li><li>mưa như cầm chĩnh đổ:<i>to rain cats and dogs</i></li></ul></li></ul>",noun: Terracotta jar,
4157,chĩnh chện,"<h1>chĩnh chện</h1><h2>adj</h2><ul><li>Grand, stately<ul style=""list-style-type:circle""><li>ngồi chĩnh chện:<i>to sit with a grand air</i></li><li>áo quần chĩnh chện:<i>grand clothes</i></li></ul></li></ul>","adj: Grand, stately",
4158,chính,"<h1>chính</h1><h2>adj</h2><ul><li>Main<ul style=""list-style-type:circle""><li>cổng chính:<i>the main gate</i></li><li>kẻ thù chính:<i>the main enemy</i></li><li>nhiệm vụ chính:<i>the main duty</i></li><li>nguồn sống chính:<i>the main means of livelihood</i></li><li>bản chính:<i>original copy</i>-Just, righteous<br/></li><li>phân biệt chính và tà:<i>to make a difference between the just and the unjust</i></li><li>cần, kiệm, liêm chính:<i>industry, thrift, honesty and righteousness</i></li></ul></li></ul>",adj: Main,
4159,chính biến,"<h1>chính biến</h1><h2>noun</h2><ul><li>Political upheaval, putsch</li></ul>","noun: Political upheaval, putsch",
4160,chính chuyên,"<h1>chính chuyên</h1><h2>adj</h2><ul><li>Virtuous<ul style=""list-style-type:circle""><li>gái chính chuyên:<i>a virtuous woman</i></li></ul></li></ul>",adj: Virtuous,
4161,chính đảng,<h1>chính đảng</h1><h2>noun</h2><ul><li>Political party</li></ul>,noun: Political party,
4162,chính đáng,"<h1>chính đáng</h1><h2>adj</h2><ul><li>Legitimate<ul style=""list-style-type:circle""><li>nguyện vọng chính đáng:<i>legitimate aspirations</i></li></ul></li></ul>",adj: Legitimate,
4163,chính phủ,"<h1>chính phủ</h1><h2>noun</h2><ul><li>Government, cabinet<ul style=""list-style-type:circle""><li>lập chính phủ:<i>to form a government</i></li><li>thủ tướng chính phủ:<i>the Prime Minister</i></li></ul></li></ul>","noun: Government, cabinet",
4164,chính quy,<h1>chính quy</h1><ul><li>Xem chính qui</li></ul>,Xem chính qui,
4165,chính quy hoá,<h1>chính quy hoá</h1><ul><li>Xem chính qui hoá</li></ul>,Xem chính qui hoá,
4166,chính quyền,"<h1>chính quyền</h1><h2>noun</h2><ul><li>State power, regime, government, administration<ul style=""list-style-type:circle""><li>nắm chính quyền:<i>to hold power, to be in power</i></li></ul></li></ul>","noun: State power, regime, government, administration",
4167,chính sách,<h1>chính sách</h1><h2>noun</h2><ul><li>Policy</li></ul>,noun: Policy,
4168,chính tả,"<h1>chính tả</h1><h2>noun</h2><ul><li>Spelling, dictation<ul style=""list-style-type:circle""><li>viết sai chính tả:<i>to make mistakes in spelling</i></li><li>giờ chính tả:<i>a spelling period, a dictation period</i></li><li>viết chính tả:<i>to write a dictation</i></li></ul></li></ul>","noun: Spelling, dictation",
4169,chính thể,"<h1>chính thể</h1><h2>noun</h2><ul><li>(Political) regime<ul style=""list-style-type:circle""><li>chính thể quân chủ:<i>a monarchical regime</i></li><li>chính thể dân chủ:<i>a democratic regime</i></li></ul></li></ul>",noun: (Political) regime,
4170,chính thức,"<h1>chính thức</h1><h2>adj</h2><ul><li>Official<ul style=""list-style-type:circle""><li>bản tuyên bố chính thức của Bộ ngoại giao:<i>an official statement of the Foreign Ministry</i></li><li>tin chính thức:<i>official news</i></li><li>làm lễ chính thức kết hôn:<i>to hold the official wedding ceremony</i>-Full-fledged<br/></li><li>thành lập chính phủ chính thức thay cho chính phủ lâm thời:<i>to form a full-fledged government in replacement of the provisional one</i></li><li>được công nhận đảng viên chính thức sau một năm dự bị:<i>to be recognized as a full-fledged member after a year's probation</i></li><li>giờ chính thức:<i>standard time</i></li></ul></li></ul>",adj: Official,
4171,chính thức hoá,"<h1>chính thức hoá</h1><h2>verb</h2><ul><li>To officialize<ul style=""list-style-type:circle""><li>chính thức hoá quan hệ ngoại giao giữa hai nước:<i>to officialize the diplomatic relations between the two countries</i></li></ul></li></ul>",verb: To officialize,
4172,chính trị,<h1>chính trị</h1><h2>noun</h2><ul><li>Politics</li></ul>,noun: Politics,
4173,chính trị gia,"<h1>chính trị gia</h1><h2>noun</h2><ul><li>Politician<ul style=""list-style-type:circle""><li>các chính trị gia tư sản:<i>the bourgeois politicians</i></li></ul></li></ul>",noun: Politician,
4174,chính trị phạm,"<h1>chính trị phạm</h1><h2>noun</h2><ul><li>Political prisoner, state prisoner</li></ul>","noun: Political prisoner, state prisoner",
4175,chính trị viên,<h1>chính trị viên</h1><h2>noun</h2><ul><li>Political instructor (at company or battalion level)</li></ul>,noun: Political instructor (at company or battalion level),
4176,chíp,<h1>chíp</h1><h2>verb</h2><ul><li>to keep to tighten</li></ul>,verb: to keep to tighten,
4177,chít,"<h1>chít</h1><h2>noun</h2><ul><li>Great-great-great-grandchild</li></ul><h2>verb</h2><ul><li>To wind round the head<ul style=""list-style-type:circle""><li>chít khăn:<i>to wind a turban round one's head</i>-(nói về đồ mặc) To fit closely<br/></li><li>thắt lưng da chít bụng:<i>a leather belt fitting closely</i>-To stitch tighter<br/></li><li>chít áo:<i>to stitch tighter a jacket</i></li><li>quần chít ống:<i>a pair of tight-legged trousers</i>-To stop, to fill in<br/></li><li>chít vách:<i>to fill in the gaps in a wattle and daub wall</i></li></ul></li></ul>",noun: Great-great-great-grandchild,
4178,chít chít,<h1>chít chít</h1><ul><li>To squeak</li></ul>,To squeak,
4179,chít khăn,"<h1>chít khăn</h1><h2>verb</h2>-to wrap a turban around one's head<br/>",verb: ,
4180,chịt,"<h1>chịt</h1><h2>verb</h2><ul><li>To choke, to choke up, to block<ul style=""list-style-type:circle""><li>chịt cửa hầm:<i>to block the entrance of a shelter</i></li><li>chịt lấy cổ:<i>to choke (someone's) throat</i></li></ul></li></ul><h2>adj, adv</h2><ul><li>Tight<ul style=""list-style-type:circle""><li>đóng chịt cửa lại:<i>to shut the door tight</i></li><li>giữ chịt lấy tờ báo không cho ai xem:<i>to hold a newspaper tight for oneself, and not to let others read it</i></li></ul></li></ul>","verb: To choke, to choke up, to block",
4181,chíu chít,"<h1>chíu chít</h1><ul><li>To twitter, to cheep<ul style=""list-style-type:circle""><li>chim non chíu chít:<i>fledgelings were twittering</i></li></ul></li></ul>","To twitter, to cheep",
4182,chịu,"<h1>chịu</h1><h2>verb</h2><ul><li>To sustain, to bear, to accept<ul style=""list-style-type:circle""><li>chịu đòn:<i>to sustain a blow</i></li><li>chịu các khoản phí tổn:<i>to bear all the costs</i></li><li>không ngồi yên chịu chết:<i>not to sit with folded arms and accept death</i></li><li>chịu ảnh hưởng của ai:<i>to sustain (be under) someone's influence</i></li><li>chịu sự lãnh đạo:<i>to accept (be under) the leadership (of somebody)</i></li><li>một cảm giác dễ chịu:<i>a pleasant sensation</i></li><li>chịu lạnh:<i>to bear (stand) the cold</i></li><li>khổ mấy cũng chịu được</li></ul></li></ul>","verb: To sustain, to bear, to accept",
4183,chịu đầu hàng,<h1>chịu đầu hàng</h1><h2>verb</h2>-To give in; to cave in<br/>,verb: ,
4184,chịu đực,"<h1>chịu đực</h1><ul><li>To accept male (nói về súc vật cái)<ul style=""list-style-type:circle""><li>lợn nái chịu đực:<i>the sow accepted the boar</i></li></ul></li></ul>",To accept male (nói về súc vật cái),
4185,chịu đựng,"<h1>chịu đựng</h1><ul><li>To stand<ul style=""list-style-type:circle""><li>ngôi nhà chịu đựng được sức công phá của bom đạn:<i>the house could stand the blast of bombs and bullets</i></li><li>chịu đựng hy sinh gian khổ:<i>to stand sacrifices and hardships</i></li></ul></li></ul>",To stand,
4186,chịu khó,"<h1>chịu khó</h1><ul><li>To take pains<ul style=""list-style-type:circle""><li>chịu khó học tập:<i>to take pains to study</i></li><li>con người chịu khó:<i>a painstaking person</i></li></ul></li></ul>",To take pains,
